start,STATE,LGA,Name of SEEFOR FADAMA Community Association (SFCA),Name of SEEFOR FADAMA User Groups (SFUG),Type of Sub-project Enterprise,CROP PRODUCTION,FISHERY,LIVESTOCK,POULTRY,PROCESSING,MARKETING,RURAL INFRASTRUCTURE,FORESTRY,Total Cost of Sub-Project,IDA Amount,Beneficiary Contribution,Total Amount Disbursed,Date of disbursement,Status of Sub-Project,Duration of Sub-Project Implementation,Total Number of Service Providers,Total number of enterprise beneficiaries,Number of members with access to extension services,People that has access to services support by the SEEFOR FADAMA Project,People that has access to services support by the SEEFOR FADAMA Project/Capacity building services,People that has access to services support by the SEEFOR FADAMA Project/Advisory Services,People that has access to services support by the SEEFOR FADAMA Project/People that have access to rural infrastructure services,People that has access to services support by the SEEFOR FADAMA Project/Input Support,Number of Meetings,Frequency of meetings held by Group,Average Size of Each Members’ Household,Number of Direct Beneficiaries: Male,Number of Direct Beneficiaries: Female,Number of beneficiaries under supported services: Male,Number of beneficiaries under supported services: Female,Number of Indirect Beneficiaries: Male,Number of Indirect Beneficiaries: Female,Number of person employed on permanent basis (Male),Number of person employed on permanent basis (Female),Number of person employed on temporary basis (Male),Number of person employed on temporary basis (Female),Crop Production: Metric Tons per Hecta,Fishery: Number of Kg,Livestock: Number of Livestock,Poultry: Number of Birds,Poultry: Crate of Eggs,Processing: Volume of Produce Processed (Kg),Number of Production Cycle,FUEF Amount Saved,Picture of Sub-project 1,Picture of Sub-project 2,GPS Coordinates of site,_GPS Coordinates of site_latitude,_GPS Coordinates of site_longitude,_GPS Coordinates of site_altitude,_GPS Coordinates of site_precision,Success Stories due to presence of intervention,Do you have any challenges?,"If yes, what is the challenge?",Risk factors,Risk factors/Militancy,Risk factors/Oil Spillage,Risk factors/Flood,Risk factors/Others,"If others, specify?",Name of Data Collector,Signature of Data Collector,Name of SEEFOR FADAMA User Groups (SFUGs),Type of enterprise,Total number of membership,Frequency of meetings held,Number of Male,Number of Female,Frequency of meetings held by Groups,Number of person employed on permanent basis (Male),Number of person employed on permanent basis (Female),Number of person employed on temporary basis (Male),Number of person employed on temporary basis (Female),People that has access to services support by the SEEFOR FADAMA Project,Amount disbursed,Duration of Sub-Project,Total Number of Service Provider,Picture of Site,GIS Coordinates of site,_GIS Coordinates of site_latitude,_GIS Coordinates of site_longitude,_GIS Coordinates of site_altitude,_GIS Coordinates of site_precision,Increase of Agricultural Production for SEEFOR FADAMA,Picture of Sub-project,calculation,Number of Indirect Beneficiaries Male ${calculation},calculation_001,Number of Indirect Beneficiaries Female ${calculation_001},Sustainability Measures,Picture of Sub-project 3,"If yes, specify?",_id,_uuid,_submission_time,_validation_status,_index
2019-09-29T15:17:02.550+01:00,BAYELSA,EKEREMOR,AMABULOU,OLOMEIN-OGBO CASSAVA FARMERS,CROP PRODUCTION,Cassava,,,,,,,,1014000,720000,294000,720000,29-09-17,Completed,Above 1 Year,3,10,10,Input Support People that have access to rural infrastructure services Advisory Services Capacity building services,1,1,1,1,3,1,5,5,5,5,5,30,40,0,0,2,2,30,,,,,,3,25000,1569839957309.jpg,1569839980266.jpg,4.99057 5.805796666666667 -0.2 1.7,4.99057,5.805796667,-0.2,1.7,,No,,Flood,0,0,1,0,,VICTOR FORCADOS,1569766935484.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37925214,86b77ebe-6413-4814-97ad-720d4aad2dc9,2019-09-30T16:00:10,,398
2019-09-26T17:13:20.252+01:00,DELTA,UDU,UKPIOWIN,OVWHOROH PIG FARMERS,LIVESTOCK,,,Piggery,,,,,,3921300,2599910,1321390,2599910,03-06-18,Completed,4 - 6 Months,4,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,5,6,4,6,4,42,28,0,0,4,2,,,28,,,,1,150000,1569514754770.jpg,1569514804132.jpg,5.43817096 5.84654935 27.0 4.288,5.43817096,5.84654935,27,4.288,"ABLE TO FEED THIER FAMILY AS A RESULT OF THE INTERVENTION

PAY CHILDREN SCHOOL FEES AND EXPAND THEIR PROJECTS TO A BIGGER CAPACITY",No,,,,,,,,DOMINIC OGBU,1569514961328.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37930647,2e6d6cc3-3e70-44d2-b249-f98a395b4b86,2019-09-30T17:01:24,,399
2019-09-26T17:55:29.714+01:00,DELTA,UDU,UKPIOWIN,ROYAL POULTRY FARMERS,POULTRY,,,,Broilers,,,,,4132000,2732000,1400000,2732000,02-08-18,Completed,1 - 3 Months,4,12,12,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,24,2,5,8,4,8,4,56,28,0,0,4,2,,,,210,6,,6,120000,1569517236458.jpg,1569517264662.jpg,5.44497173 5.86145924 29.0 4.288,5.44497173,5.86145924,29,4.288,"MEMBERS OF THE GROUP ARE NOW ABLE TO TAKE CARE OF THEIR FAMILY. 

THEY NOW HAVE SAVINGS AND PLANNING TO EXPAND CAPACITY",No,,,,,,,,DOMINIC OGBU,1569517302968.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37931423,026b6f51-95dc-431c-a3fd-922d1fdde217,2019-09-30T17:07:55,,400
2019-09-26T18:02:02.926+01:00,DELTA,UDU,UKPIOWIN,OGHENEOVO POULTRY FARMERS,POULTRY,,,,Layers,,,,,4132000,2732000,1400000,2732000,02-08-18,Completed,4 - 6 Months,4,12,12,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,5,8,4,8,4,56,28,0,0,2,4,,,,210,3,,1,1800,1569517476904.jpg,1569517493892.jpg,5.44416283 5.86166395 28.0 4.288,5.44416283,5.86166395,28,4.288,NONE,No,,,,,,,,DOMINIC OGBU,1569863541673.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37932100,43406d95-995b-4ae8-b340-837480508ef4,2019-09-30T17:12:59,,401
2019-09-26T17:13:45.777+01:00,DELTA,UDU,UKPIOWIN,EMUESIRI PIG FARMERS,LIVESTOCK,,,Piggery,,,,,,3921300,2599910,1321390,2599910,03-06-18,Completed,4 - 6 Months,4,10,10,Capacity building services Advisory Services Input Support,1,1,0,1,12,1,6,7,3,7,3,49,21,1,,,0,,,12,,,,2,70000,1569514648747.jpg,1569514672090.jpg,5.438375 5.846431666666666 0.1 4.2,5.438375,5.846431667,0.1,4.2,"SINCE THE PROJECT BEGAN, OUR LIVES HAS IMPROVED POSITIVELY. NOW WE HAVE MONEY TO FEED AND TRAIN OUR CHILDREN",Yes,HIGH COST OF FEEDS,,,,,,,UKPAKA CHARLES,1569514845188.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37934013,de13f349-8ba6-4593-b3e2-cc131fcb54f1,2019-09-30T17:32:10,,402
2019-09-26T17:38:57.647+01:00,DELTA,UDU,UKPIOVWIN,GIFT CASSAVA PROCESSING FARMERS,PROCESSING,,,,,Cassava Processing,,,,1210000,1210000,0,1210000,28-08-18,Completed,4 - 6 Months,3,10,10,Capacity building services Advisory Services,1,1,0,0,12,1,6,0,10,,10,,70,0,0,0,0,,,,,,1000,12,20000,1569516113837.jpg,1569516139837.jpg,5.440748333333333 5.848633333333334 3.1 4.4,5.440748333,5.848633333,3.1,4.4,THE PROJECT HAS MADE US TO HAVE SAVING AND MAKE LIFE MORE MEANINGFUL TO US AS WIDOWS,Yes,DIFFICULTY IN FINDING OPERATORS,,,,,,,UKPAKA CHARLES,1569516175820.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37934642,ef2cea6f-1f93-4e64-934e-d376a7bcd4eb,2019-09-30T17:38:20,,403
2019-09-25T11:51:58.865+01:00,BAYELSA,EKEREMOR,OBIRIGBENE,ABRAH FISH,FISHERY,,Fish Pond,,,,,,,1020000,724000,296000,724000,,Completed,7 - 9 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,10,1,4,5,5,5,5,50,50,0,0,0,0,,200,,,,,4,50000,1569839212478.jpg,1569839228639.jpg,5.014165 5.80736 10.7 4.4,5.014165,5.80736,10.7,4.4,DUE TO THE INTERVENTION OF THE FADAMA SEEFOR PROJECT THE GROUP CAN BOAST OF SUSTAINABILITY,No,,Flood,0,0,1,0,,SUODOH EGBUSON,1569409906569.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37944900,6f7e1329-6316-46bc-9790-a43a13bef972,2019-09-30T21:06:44,,404
2019-09-25T12:14:00.394+01:00,BAYELSA,EKEREMOR,OBIRIGBENE,AMAEBIKIEN,FISHERY,,Fish Pond,,,,,,,1020000,724000,296000,724000,,Completed,7 - 9 Months,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,3,2,8,2,8,2,8,0,0,0,0,,2000,,,,,4,70000,1569836083868.jpg,,5.029381666666667 5.819873333333334 -1.8 3.7,5.029381667,5.819873333,-1.8,3.7,THE INTERVENTION WAS A RELIEF TO US,Yes,FLOOD,Flood,0,0,1,0,,SUODOH EGBUSON,1569410460514.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37944911,91e86902-c8a0-43a4-9bf0-5a0addb1c3be,2019-09-30T21:06:49,,405
2019-09-26T10:42:41.025+01:00,BAYELSA,EKEREMOR,OBIRIGBENE,EBITARI OGBO,FISHERY,,Fish Pond,,,,,,,1020000,724000,294000,724000,,Completed,7 - 9 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,9,1,4,1,9,1,9,20,50,0,0,0,0,,2300,,,,,4,50000,1569838913672.jpg,1569838958020.jpg,5.016743333333333 5.811876666666666 2.4 3.7,5.016743333,5.811876667,2.4,3.7,THE FADAMA SEEFOR INTERVENTION IS A WELCOME DEVELOPMENT IT HAS HELPED TO INCREASE OUR OUTPUT,No,,Flood,0,0,1,0,,SUODOH EGBUSON,1569491436698.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37944920,7e3913a2-4d73-448d-849a-f0217b70c775,2019-09-30T21:06:53,,406
2019-09-28T11:34:38.980+01:00,BAYELSA,EKEREMOR,AKPAKPAKIRI,EBIFIYAI,CROP PRODUCTION,Cassava,,,,,,,,981450,699015,282435,699015,,Completed,10 - 12 Months,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,10,1,4,2,8,2,8,20,50,0,0,0,0,2800,,,,,,4,35000,1569838523286.jpg,1569838536709.jpg,5.018758333333333 5.814861666666667 2.7 3.7,5.018758333,5.814861667,2.7,3.7,THE INTERVENTION IS A RELIEF AND SUPPORT TO US,No,,Flood,0,0,1,0,,SUODOH EGBUSON,1569667798741.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37944935,bf0c8c1d-f587-4b4e-a7a0-237b253098be,2019-09-30T21:07:00,,407
2019-09-28T11:51:43.932+01:00,BAYELSA,EKEREMOR,AKPAKPAKIRI,EBILADE OGBO,CROP PRODUCTION,Cassava,,,,,,,,1040000,736000,304000,736000,,Completed,10 - 12 Months,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,3,5,5,5,5,35,35,0,0,0,0,2900,,,,,,4,60000,1569837981804.jpg,1569838002198.jpg,5.022608333333333 5.818555 3.9 3.7,5.022608333,5.818555,3.9,3.7,,No,,Flood,0,0,1,0,,SUODOH EGBUSON,1569668399706.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37944949,60834bb6-dd6a-43e6-8524-49a2640f0627,2019-09-30T21:07:07,,408
2019-09-28T12:07:51.341+01:00,BAYELSA,EKEREMOR,AKPAKPAKIRI,EMELEDE OGBO,CROP PRODUCTION,Cassava,,,,,,,,1020000,724000,296000,724000,,Completed,10 - 12 Months,3,10,10,Capacity building services Advisory Services Input Support People that have access to rural infrastructure services,1,1,1,1,12,1,4,6,4,6,4,50,20,0,0,0,0,3000,,,,,,4,70000,1569838157871.jpg,1569838177009.jpg,5.020426666666666 5.817505 6.4 3.2,5.020426667,5.817505,6.4,3.2,,No,,Flood,0,0,1,0,,SUODOH EGBUSON,1569670364988.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37944958,7d0024a4-cb4d-479d-a564-fe31215b280c,2019-09-30T21:07:16,,409
2019-09-28T12:33:31.962+01:00,BAYELSA,EKEREMOR,AKPAKPAKIRI,EYERINBI OGBO,CROP PRODUCTION,Cassava,,,,,,,,1020000,724000,296000,724000,,Completed,10 - 12 Months,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,11,1,4,4,6,4,6,25,35,0,0,0,0,2900,,,,,,4,45000,1569838288780.jpg,1569838305178.jpg,5.019991666666667 5.817264999999999 2.6 3.3,5.019991667,5.817265,2.6,3.3,,No,,Flood,0,0,1,0,,SUODOH EGBUSON,1569670769325.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37944989,69b61b1c-fe44-4d63-bffc-670be1601bc9,2019-09-30T21:07:31,,410
2019-09-29T14:35:55.974+01:00,BAYELSA,EKEREMOR,TAMOGBENE,EBILADE,FISHERY,,Fish Pond,,,,,,,1100000,815000,285000,815000,,Completed,7 - 9 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,10,1,3,4,6,4,6,30,40,,0,0,0,,2300,,,,,3,32000,1569854019581.jpg,1569854034630.jpg,4.989693333333333 5.737233333333334 9.6 4.5,4.989693333,5.737233333,9.6,4.5,WE HAVE RECORDED PROFIT SINCE THE INTERVENTION CAME TO US,No,,Flood,0,0,1,0,,SUODOH EGBUSON,1569764699795.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945009,936858a4-20e6-4857-ab18-1ad42b932d87,2019-09-30T21:07:37,,411
2019-09-29T14:45:15.268+01:00,BAYELSA,EKEREMOR,TAMOGBENE,EBADOUGBORO,CROP PRODUCTION,Cassava,,,,,,,,960000,684000,276000,684000,,Completed,10 - 12 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,5,3,7,3,7,20,50,0,0,0,0,2900,,,,,30000,3,75000,1569853472167.jpg,1569853487663.jpg,4.982295000000001 5.745654999999999 18.2 4.0,4.982295,5.745655,18.2,4,MORE YIELDS DUE TO THE INTERVENTION PROGRAMME,Yes,FLOODING,Flood,0,0,1,0,,SUODOH EGBUSON,1569765162686.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945033,84d32aee-2008-47db-bcde-a1c3b7a85eeb,2019-09-30T21:07:43,,412
2019-09-29T14:57:01.601+01:00,BAYELSA,EKEREMOR,TAMOGBENE,HAPPY UNION,CROP PRODUCTION,Cassava,,,,,,,,960000,684000,276000,684000,,Completed,10 - 12 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,3,5,5,5,5,35,35,0,0,0,0,2500,,,,,27000,4,68000,1569853876022.jpg,1569853889311.jpg,4.986631666666667 5.737416666666666 1.5 4.2,4.986631667,5.737416667,1.5,4.2,THANKS TO THE INTERVENTION PROGRAMME IT WAS A GREAT RELIEF,Yes,FLOODING ALMOST EVERY YEAR,Flood,0,0,1,0,,SUODOH EGBUSON,1569765703642.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945041,027aad98-6173-4e54-aea7-d0f727bdcf30,2019-09-30T21:07:51,,413
2019-09-29T15:10:18.409+01:00,BAYELSA,EKEREMOR,TAMOGBENE,BOULOWENEMO OGBO,CROP PRODUCTION,Cassava,,,,,,,,960000,684000,276000,684000,,Completed,10 - 12 Months,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,4,6,4,6,4,45,25,0,0,0,0,,3100,,,,,3,30000,1569853620660.jpg,1569853634556.jpg,4.982536666666666 5.742691666666667 17.5 4.4,4.982536667,5.742691667,17.5,4.4,WE ARE GREAT FULL TO THE INTERVENTION THAT CAME TO US,Yes,FLOODING,Flood,0,0,1,0,,SUODOH EGBUSON,1569766566464.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945045,5f37504e-9430-4b6a-866d-8aca9d672f27,2019-09-30T21:07:56,,414
2019-09-29T15:17:03.394+01:00,BAYELSA,EKEREMOR,FOUTORUGBENE,SAMTAMA,CROP PRODUCTION,Cassava,,,,,,,,960000,684000,276000,684000,,Completed,10 - 12 Months,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,5,2,8,2,8,20,50,0,0,0,0,32000,,,,,33000,3,53000,1569854981676.jpg,1569855000858.jpg,5.028063333333334 5.7447116666666656 0.2 4.3,5.028063333,5.744711667,0.2,4.3,WE WILL LIKE MORE OF THESE INTERVENTIONS,Yes,FLOODING,Flood,0,0,1,0,,SUODOH EGBUSON,1569766990298.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945049,37cc00ef-440f-4fbc-86df-6d7a7994621b,2019-09-30T21:08:01,,415
2019-09-29T15:23:23.824+01:00,BAYELSA,EKEREMOR,FOUTORUGBENE,PERE OGBO,FISHERY,,Fish Pond,,,,,,,960000,684000,276000,684000,,Completed,7 - 9 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,9,1,3,9,1,9,1,65,5,0,0,0,0,,2500,,,,,3,36000,1569854112891.jpg,1569854130463.jpg,4.991666666666667 5.734703333333332 8.0 4.8,4.991666667,5.734703333,8,4.8,WE ANT TO SAY THANK YOU FOR THE INTERVENTION,No,,Flood,0,0,1,0,,SUODOH EGBUSON,1569767294678.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945058,301e5d91-e0b2-4cfe-b307-314b6c2cb88c,2019-09-30T21:08:06,,416
2019-09-29T15:34:01.802+01:00,BAYELSA,EKEREMOR,FOUTORUGBENE,KARIBOR,CROP PRODUCTION,Cassava,,,,,,,,960000,684000,276000,684000,,Completed,10 - 12 Months,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,4,5,5,5,5,35,35,0,0,0,0,2800,,,,,30000,3,75000,1569855533003.jpg,1569855546088.jpg,5.028546666666667 5.752303333333333 -0.6 2.9,5.028546667,5.752303333,-0.6,2.9,EXCELLENT INTERVENTION,Yes,FLOODING,Flood,0,0,1,0,,SUODOH EGBUSON,1569767934304.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945071,c2a11310-ad80-41a9-8e7e-f042680e81ad,2019-09-30T21:08:11,,417
2019-09-29T20:19:46.228+01:00,BAYELSA,EKEREMOR,AMABULOU,AYAKE EVILEH,CROP PRODUCTION,Cassava,,,,,,,,1014000,720000,294000,720000,,Completed,10 - 12 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,5,8,2,8,2,60,10,0,0,0,0,2600,,,,,,4,60000,1569840442402.jpg,1569840458610.jpg,4.986536666666667 5.801819999999999 -0.2 4.6,4.986536667,5.80182,-0.2,4.6,,Yes,FLOODING,Flood,0,0,1,0,,SUODOH EGBUSON,1569785242919.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945077,4bc00bd0-faa5-4d54-ba10-0b3104dc7050,2019-09-30T21:08:15,,418
2019-09-29T20:30:57.741+01:00,BAYELSA,EKEREMOR,AMABULOU,BALANCE,CROP PRODUCTION,Cassava,,,,,,,,1014000,720000,294000,720000,,Completed,Above 1 Year,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,5,3,7,3,7,20,50,,0,0,0,3200,,,,,,3,38000,1569840884901.jpg,1569840901929.jpg,4.983585000000001 5.79049 6.8 4.9,4.983585,5.79049,6.8,4.9,THE FADAMA SEEFOR INTERVENTION WAS A SUCCESS TO US,Yes,PERENNIAL FLOODING,Flood,0,0,1,0,,SUODOH EGBUSON,1569785724842.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945080,49d14223-5827-4197-a6de-6128553b924b,2019-09-30T21:08:20,,419
2019-09-29T20:35:41.294+01:00,BAYELSA,EKEREMOR,AMABULOU,EBIKENIYE,CROP PRODUCTION,Cassava,,,,,,,,1014000,720000,294000,720000,,Completed,10 - 12 Months,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,10,1,4,7,3,7,3,55,15,0,0,0,0,2900,,,,,,3,,1569841068761.jpg,1569841085323.jpg,4.985243333333333 5.789770000000001 8.7 4.2,4.985243333,5.78977,8.7,4.2,WE SO MUCH APPRECIATE THE PROJECT IT'S A SUCCESS,Yes,FLOODING ISSUES,Flood,0,0,1,0,,SUODOH EGBUSON,1569786023661.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945087,07fb48b2-0378-4af1-a6ea-a13130e4996f,2019-09-30T21:08:26,,420
2019-09-29T20:40:40.216+01:00,BAYELSA,EKEREMOR,AMABULOU,IBA,CROP PRODUCTION,Cassava,,,,,,,,1014000,720000,294000,720000,,Completed,10 - 12 Months,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,11,1,4,8,2,8,2,60,10,0,0,0,0,2500,,,,,,4,33000,1569841244956.jpg,1569841262204.jpg,4.990898333333333 5.790886666666667 5.1 4.4,4.990898333,5.790886667,5.1,4.4,EXCELLENT INTERVENTION,Yes,FLOODING ISSUES,Flood,0,0,1,0,,SUODOH EGBUSON,1569786302993.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945090,2bee2364-8d9c-475e-9c9f-d07794879249,2019-09-30T21:08:32,,421
2019-09-29T20:55:33.537+01:00,BAYELSA,EKEREMOR,NORGBENE,AYASELE,FISHERY,,Fish Pond,,,,,,,1015000,720500,294500,720500,,Completed,7 - 9 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,10,1,3,4,6,4,6,30,40,0,0,0,0,,2700,,,,,3,30000,1569843181660.jpg,1569843201820.jpg,4.987071666666667 5.781476666666666 14.5 4.3,4.987071667,5.781476667,14.5,4.3,THE INTERVENTION WAS SUCCESSFUL TO US AS A GROUP,No,,Flood,0,0,1,0,,SUODOH EGBUSON,1569787253030.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945094,4672585b-abb9-43f7-9592-c2ca3c23b237,2019-09-30T21:08:37,,422
2019-09-29T21:01:11.178+01:00,BAYELSA,EKEREMOR,NORGBENE,BOLOUBOMO OGBO,CROP PRODUCTION,Cassava,,,,,,,,1015000,720500,294500,720500,,Completed,10 - 12 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,3,3,7,3,7,20,50,0,0,0,0,3300,,,,,,4,40000,1569844740078.jpg,1569844764248.jpg,4.9901100000000005 5.7860700000000005 1.3 4.7,4.99011,5.78607,1.3,4.7,,No,,Flood,0,0,1,0,,SUODOH EGBUSON,1569787514644.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945096,8a98cd54-34b6-4d0c-ad5c-a35ced69bbbd,2019-09-30T21:08:42,,423
2019-09-29T21:10:15.866+01:00,BAYELSA,EKEREMOR,NORGBENE,GBOUMIS,CROP PRODUCTION,Cassava,,,,,,,,1015000,720500,294500,720500,,Completed,10 - 12 Months,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,10,1,4,9,1,9,1,60,10,0,0,0,0,3500,,,,,,4,72000,1569844870749.jpg,1569844884342.jpg,4.9903450000000005 5.78637 5.2 4.2,4.990345,5.78637,5.2,4.2,WE HAVE RECORDED TREMENDOUS SUCCESS DUE TO THE INTERVENTION,No,,Flood,0,0,1,0,,SUODOH EGBUSON,1569788084932.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945102,47c2c3ee-b395-4743-a6f0-d02c14122e52,2019-09-30T21:08:47,,424
2019-09-29T21:15:00.637+01:00,BAYELSA,EKEREMOR,NORGBENE,KING MAKERS,FISHERY,,Fish Pond,,,,,,,1015000,720500,294500,720500,,Completed,10 - 12 Months,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,3,7,3,7,3,55,25,0,0,0,0,,2700,,,,,3,65000,1569845259967.jpg,1569845278582.jpg,4.98918 5.784866666666666 4.8 4.6,4.98918,5.784866667,4.8,4.6,THE INTERVENTION PROGRAMME HAS BEEN A SOURCE OF GREAT ASSISTANCE TO US,No,,Flood,0,0,1,0,,SUODOH EGBUSON,1569788447260.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37945107,94d0ff31-0997-4d3d-82df-66865f750c4c,2019-09-30T21:08:52,,425
2019-09-26T12:05:48.689+01:00,DELTA,BOMADI,AMAFINI-OGBO,RURAL INFRASTRUCTURE,RURAL INFRASTRUCTURE,,,,,,,Rural Market,,4259828,3.83E+08,4.26E+07,3.83E+08,07-03-17,Completed,1 - 3 Months,1,1618,0,People that have access to rural infrastructure services,0,0,1,0,60,1,8,821,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215680,1569496657851.jpg,1569496684353.jpg,5.154111666666666 5.609556666666666 1.1 4.2,5.154111667,5.609556667,1.1,4.2,INCREASE IN COMMERCIAL ACTIVITIES IN THE COMMUNITY.,Yes,THE COMMUNITY HAVE BEEN OVERTAKEN BY FLOOD.,Flood,0,0,1,0,,THEOPHILUS ODENORE,1569496829993.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37983536,c7031ec6-e84d-4d62-85f7-517620196835,2019-10-01T14:05:46,,426
2019-09-27T07:33:19.070+01,DELTA,UDU,GOD BLESS,PEACE POULTRY,POULTRY,,,,Broilers,,,,,2239700,1482550,757150,1482550,07-08-15,Completed,4 - 6 Months,4,10,10,Capacity building services Advisory Services Input Support,1,1,0,1,7,1,4,5,5,5,5,42,18,0,0,4,5,,,,280,,,16,23000,1569566183826.jpg,1569566294117.jpg,5.537695 5.81567 23.9 4.9,5.537695,5.81567,23.9,4.9,"RESTOCK AFTER BIRD FLU WITH A TOTAL OF 1800

BROODING AND SELLING OF 500 BOILERS EVERY TWO MONTHS

EXTENDED TO REAR TURKEYS TOO",Yes,"HIGH COST OF FEEDS

BIRD FLU DURING THE START OF THE PROJECT 

YOUTH RESTLESSNESS IN THE COMMUNITY",,,,,,,FAITH ODERHOHWO,1569909946729.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37956746,bbd7ff6c-c3e4-4abf-9d59-e477de81ba22,2019-10-01T06:06:12,,427
2019-09-27T07:38:40.047+01,DELTA,UDU,GOD BLESS,EFE POULTRY FARMERS,POULTRY,,,,Layers,,,,,2239700,1482550,757150,1482550,07-08-15,Abandoned,4 - 6 Months,4,10,0,Capacity building services Advisory Services Input Support,1,1,0,1,9,1,6,6,4,6,4,,,,,,,,,,,,,,,1569566364878.jpg,1569566388395.jpg,5.537691666666666 5.815813333333334 17.0 2.9,5.537691667,5.815813333,17,2.9,NONE,Yes,"COMMUNAL CRISIS

THE POULTRY PEN WAS DESTROYED BY A MEMBER OF THE GROUP FAMILY DURING THE COMMUNAL CRISIS

GROUP HAVE NOT BE ABLE TO COME ONBOARD AFTER THE CRISIS",,,,,,,FAITH ODERHOHWO,1569684664759.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37956870,61547a14-630a-4d09-91a2-cac98909e59b,2019-10-01T06:08:17,,428
